gene_id,PLB1K1,PLB1K2,PLB1K3,PLB1K-rmpA1,PLB1K-rmpA2,PLB1K-rmpA3
b2528,591423,687317,629717,535970,361563,384727
b2521,636791,909603,847399,183681,249579,355539
b2531,992095,866564,613255,205504,183009,321939
b1175,560077,570926,502111,509196,469731,545691
b2607,130606,243018,314210,1380291,735969,352850
b1831,364422,530175,543480,644487,582570,484541
b0439,213263,326406,255764,1120077,671013,561218
b4512,940183,931605,758893,108315,58066,345292
b0598,870624,904135,578010,199305,67134,505423
b3035,592610,494015,501986,529895,482560,522422
b0170,117937,251730,292623,1356688,738904,352063
b2699,515076,591806,594131,534861,436256,423358
b3755,741259,763674,954591,164108,244596,216181
b0023,295810,419857,590385,613682,812733,319166
b2286,485938,540331,416540,750016,393492,450035
b1702,481281,574188,536232,450949,306684,677050
b3738,417379,659042,641265,534657,360809,403706
b4493,761844,515631,531382,259058,496987,439234
b4471,94793,542133,190972,6195,1794970,373162
b4384,400802,394768,330935,583137,578094,713200
b1976,747110,711312,556869,238037,337796,403477
b3405,606957,604146,583636,372418,363817,460292
b2277,327681,314882,225495,707109,618624,796971
b4174,333541,377965,326648,707682,657843,583068
b3892,962634,729552,674811,196351,123609,298804
b1174,538096,518768,519023,400240,448061,559859
b3735,231084,411058,381776,1123611,365723,466239
b3733,152821,298308,260036,1406354,368097,489722
b2608,129082,264209,306345,1192469,654861,425760
b3617,451388,597488,405336,399902,484012,634223
b2881,867606,512237,1052490,7043,435362,95772
b2665,648335,388666,273460,475224,381857,793487
b1304,870091,669252,684101,86463,186022,459255
b3616,403598,457304,325659,551836,478366,734764
b3433,537476,525547,461658,366986,547302,508915
b2316,416917,523959,522040,484845,554396,426423
b4239,35555,36049,31309,1132706,1645518,42984
b3287,601786,563566,732964,318872,372271,334325
b1000,826297,438067,374080,337713,315457,624953
b1246,450968,403016,384590,513166,644910,517026
b0811,718117,725754,471069,340254,126872,526536
b0889,512827,560318,437394,385230,426238,583569
b3288,649165,606192,635700,299655,354984,356574
b3165,317965,409906,560078,680383,569678,358669
b0525,374293,423796,464549,576112,542999,509996
b0430,590194,667211,439476,740286,56841,388951
b3703,206290,259264,301886,741388,826419,531840
b3203,702689,603214,541186,279569,321523,412700
b0791,836385,733588,659167,114202,238531,266636
b3429,572125,548789,522248,284670,402610,517514
b2310,1186936,916614,464126,119264,32343,103172
b3251,324032,447492,465812,447005,624741,499790
b1764,664612,606186,569428,283721,304483,370562
b4171,388901,391627,303386,611980,480150,618816
b0795,942653,739409,543339,104763,216331,244250
Novel00199,219783,133570,139586,395770,624830,1274512
b4045,744591,317012,216411,563150,355124,564412
b4025,396052,297673,287555,741543,540676,483677
