gene_id,PLB1K1,PLB1K2,PLB1K3,PLB1K-rmpA1,PLB1K-rmpA2,PLB1K-rmpA3
b1002,1624140.2745420365,1789672.4766396296,1524711.7593992034,391991.0464128114,1382484.2560757606,1271107.1767452057
b3298,417201.1088088187,661642.1158419072,810276.0553111963,4087164.223122648,2214227.147173586,1269167.5831873377
b2840,1772308.912296215,1853641.0033238712,1459773.6939163015,585055.3612270878,1202326.7716453369,948169.6214602911
b2242,1566680.7271586854,1587767.96660647,1473097.774635532,289158.61807379243,1606401.7768580227,1333478.5245341556
b3041,1340281.5520474957,1388143.124399212,1223101.5882525046,677903.9319526654,1108007.1896514904,2192756.647470037
b2870,1652002.8627271093,1710416.1171108305,2242542.7783217328,14100.078124917645,965690.8631734414,856227.1602972889
b3306,240374.2783046461,601817.6044316742,875551.1454823484,4479901.774967471,2102867.4754916145,913481.7563548493
b3300,421385.6602520452,686077.1043522642,772192.2655389081,4479234.879380481,1831166.8753608305,915703.4340496185
b0623,1414543.4542443855,1421947.6303705592,1573442.0012380662,850719.9394633415,1360696.3145881458,1088405.7352341714
b4172,1063990.8517368722,1190762.1148525148,1265501.7079853322,1457044.180105626,1464872.8241120125,1568581.8665747007
b0893,1078200.6465424,1276620.4144575337,1267280.6041359869,1232626.6371468639,1455757.2319698788,1566367.6121466921
b3284,1860596.7675358434,1777132.9253215818,1781603.489472686,437299.48886586266,585041.1118416802,759232.635870382
b3320,84496.02109393394,247752.38811014526,491464.6268663871,5071823.159057868,2654726.7459031944,664579.6218730933
b3983,232419.01496081168,525814.8941457275,731775.2993435535,4326164.723594167,1968727.0867468494,1019741.578165622
b3304,227509.26643628566,537107.5654799993,662275.7950359301,4623755.459843181,1911772.9331491385,859397.9556707304
b2241,1295862.2529361849,1510731.5496280047,1494013.7310457346,402546.5288151007,1348353.3164739073,1267317.068830597
b3024,1570328.6171156429,1205203.686484797,906172.1130944266,1146021.5663981102,1046300.462372838,1583517.4792969583
b0440,710757.2887141344,1129362.69386808,1436734.389125855,1894068.2972124773,1442389.5855806633,1260997.7478839955
b4255,1352293.8510586647,1586997.0511264494,1651744.0704748947,822705.1044920826,1053373.8407871951,833964.7832823534
b0911,412324.2171099826,817163.0580187577,947874.9723840697,3071886.8187601147,1792534.8022653284,1306133.330721593
b3098,1137065.9966820562,914918.6325168727,673911.9669859067,1964733.1278448163,1148983.6768876656,1984969.8666416924
b4240,104934.53128382663,127967.37543146359,91942.74890562726,3961793.0730863567,4734373.188886662,94070.81778992429
b4314,567206.59958014,800435.3866078206,873026.7098698067,2160770.413592873,1411122.4670791489,2194207.3658883874
b2872,1661383.4864615886,1412409.0444371926,2329580.5646157167,11744.409759916132,1018114.3715184317,435542.1492426102
b2243,1534358.2160388893,1527614.506755418,1480475.180070345,208013.9996459065,1393791.9816817562,860206.0312809519
b0726,1336360.6375151624,1333884.0898215002,800387.2124611842,2011501.9541762257,379313.4588809848,1556450.1277545767
b3962,1748510.4005268388,1920348.623030689,1740650.8118582668,582558.7442840141,220845.93689805703,541057.523443966
b0437,1074534.7635618502,1198325.1724401787,1166904.8104827623,1497628.235034408,1298243.5300401554,1163857.9395219176
b3231,243027.07582642234,512166.2904029064,928830.7563912572,3420593.6009105216,2077744.705228873,1043065.4823273183
b2904,1043505.4032245654,1265834.9485403912,1163809.3826297964,969473.0317273763,1351559.4739794803,1284661.0013833179
b3164,959869.135736185,1097178.1211402088,1026158.472767551,1265954.4504637856,1887122.3510315476,1019353.4473607123
