gene_id,mean_control,mean_treatment,log2_fold_change,pvalue,padj,significant
b2977,7.534579661966116,7.025637436774389,-0.5089422251917268,0.48840388612570085,0.6232461304896632,False
b3802,7.184488976218039,7.717958526698503,0.5334695504804641,0.0036239960896069833,0.05513387949205471,False
b0387,7.80617978515243,6.982591086338931,-0.8235886988134995,0.06498630283174443,0.16906121455074913,False
b0082,7.201847113109011,7.67710414877513,0.475257035666119,0.09909965384295029,0.214652145968707,False
b3607,7.651417515777389,7.253327176441328,-0.3980903393360613,0.07301390865640657,0.1789471199284596,False
b3494,7.822811652618211,6.705042680043948,-1.1177689725742628,0.08405877327649307,0.19446173941489736,False
b4784,7.246236789110515,7.56204529164679,0.31580850253627446,0.5183048959825525,0.6461534369915821,False
b3201,7.210897092727368,7.6694936986289015,0.4585966059015334,0.021993231428315756,0.09877040354069484,False
b2495,7.484674621966612,7.406099141788452,-0.0785754801781593,0.7263738306157084,0.8033429649589204,False
b0907,7.395839366280573,7.511862193070918,0.11602282679034559,0.30413730317359117,0.447971190234026,False
b2948,7.730204359827456,7.087658606313576,-0.6425457535138808,0.015398022079935715,0.08317178901079368,False
b3863,7.695078371652987,7.154538199567181,-0.5405401720858061,0.0004725915782874009,0.037162274841248066,False
b0380,8.148973796332728,5.926234431361085,-2.222739364971643,0.0028411387870346926,0.0510041235048468,False
b3401,6.305527375028793,7.98411282554047,1.6785854505116777,0.013685255098979745,0.08183417938435794,False
b2599,7.278355850529036,7.529063845156884,0.2507079946278479,0.4700349121640951,0.6078012435455362,False
b3806,7.826310611540308,6.910525505908656,-0.9157851056316515,0.001975436092724155,0.045936565720963767,False
b1203,7.148519909291344,7.66705842505785,0.5185385157665063,0.07787073948111996,0.18669010619191578,False
b0126,7.55179177762047,7.275746994689769,-0.27604478293070134,0.3660756512312703,0.5092831750545385,False
b0973,8.009699792981765,5.695852591683003,-2.3138472012987616,0.11161943123071562,0.23082334760522874,False
b4542,8.207193404817891,5.4495428811466935,-2.757650523671198,0.007687941378410485,0.06824558371270088,False
b4547,7.756301451881789,6.941119639361006,-0.815181812520783,0.056293412175254035,0.1572303961399668,False
b3400,6.463226257867466,7.9767486782078505,1.5135224203403848,0.0032774325776011343,0.052517698507807714,False
b4258,6.635582585104306,7.8879397815962,1.2523571964918938,0.014439508777381958,0.08278106132194761,False
b3126,7.365721683587464,7.09915983057419,-0.2665618530132736,0.7393170281995818,0.8138471480401577,False
b1277,7.915562139548876,6.677641180529506,-1.2379209590193696,0.0021031594365686587,0.0468876333152545,True
b0867,7.781131955787785,6.857141243664031,-0.9239907121237545,0.058996218689586835,0.16095746472879374,False
b3742,7.314745075281787,7.487703582208329,0.17295850692654202,0.5614488403622658,0.6777252274195398,False
b0472,6.940110910531899,7.739588320438126,0.7994774099062267,0.047880531729053474,0.14364159518716044,False
b0238,7.196980029936786,7.537200707366988,0.3402206774302021,0.437996414581259,0.5786658547661732,False
b3205,7.480692789000688,7.3644790539841045,-0.11621373501658372,0.15806966303665335,0.287795800287424,False
b0794,7.901248800989207,6.559563068887315,-1.341685732101892,0.020841969363412306,0.09689007281369952,False
b3752,7.153571657829812,7.6236892106157255,0.47011755278591316,0.04347124387527239,0.13752679752418057,False
b3042,7.637345064196711,7.120463749300107,-0.5168813148966036,0.046393595249545914,0.14173890774674067,False
b4485,7.8481407420470815,6.435561851881183,-1.4125788901658982,0.060782091082193374,0.16364128660880856,False
b4214,7.624609421797171,7.036291634250989,-0.588317787546182,0.17156872532941192,0.3039875401809714,False
b1982,7.638175976498065,7.075995679339228,-0.5621802971588368,0.08491029862963519,0.1953514277833995,False
b2728,7.063863713200171,7.4361207288344175,0.3722570156342462,0.5539800354826265,0.6730542499312474,False
b3389,7.269552651897793,7.512757310631844,0.24320465873405173,0.15450797914945166,0.2841933649273521,False
b0113,6.632659437830889,7.876609085660335,1.2439496478294458,0.0029329017807402614,0.051619071341028604,False
b4238,7.201858680949729,7.433150006865152,0.23129132591542323,0.6285473919567794,0.7300519397261972,False
b0809,7.636902196367203,6.963072100299741,-0.6738300960674612,0.20292959254993656,0.34046654630434214,False
b0220,7.33262529678202,7.416219067328773,0.0835937705467531,0.7515297983839445,0.8238558219704795,False
b0027,6.7840364158715944,7.779759166492146,0.9957227506205513,0.018228476888009732,0.09114163345570772,False
b4041,7.415135510865592,7.345066118811744,-0.07006939205384821,0.7122654526641439,0.7909111745911312,False
b3040,7.953763340850812,6.422895598581221,-1.5308677422695913,0.0021877016523395337,0.04722573938735389,True
b4180,7.435146240687697,7.326679428486403,-0.10846681220129373,0.45337352129870295,0.593391765409326,False
b4406,7.6231861612058855,7.0559862302720076,-0.567199930933878,0.05839530526436123,0.160544357316708,False
b0421,7.527370186854189,7.180784029030161,-0.3465861578240279,0.17382094185881095,0.3062851931929107,False
b1590,6.800956175300981,7.362236702513531,0.5612805272125501,0.5347827348550701,0.659610671844508,False
b4774,7.424732765158421,7.248485861793559,-0.17624690336486193,0.6208179231530038,0.7235083975878164,False
b3170,6.906173470310794,7.673603164578495,0.767429694267701,0.045851036685808755,0.14084835910055418,False
b4149,6.914792491995521,7.564959250221392,0.650166758225871,0.2911252515647275,0.435040315937721,False
b0030,7.108097141289828,7.521439807750703,0.41334266646087503,0.2445050596040545,0.3869318432662188,False
b2829,7.874240399634943,6.533696165871219,-1.3405442337637243,0.0011263703385671002,0.04212625066240955,True
b0081,7.164826650468828,7.477253934349126,0.3124272838802984,0.34378242802946446,0.4873327659495377,False
b2331,7.796252078622312,6.7080468020251525,-1.0882052765971597,0.0016210722784457674,0.045218048242784886,True
b4065,6.888496670982396,7.613234419513269,0.724737748530873,0.14576256046123875,0.27417534423723366,False
b3640,7.082355675376104,7.548671690762628,0.466316015386524,0.13243169205583394,0.25751881886767014,False
b3885,7.493721362552591,7.183765591393198,-0.30995577115939366,0.08921219527760191,0.20072095603053136,False
b0097,7.432927262267506,7.2613272858621505,-0.1715999764053553,0.06179612065096591,0.16518224507536333,False
b2279,6.878375727011037,7.634897120563134,0.7565213935520969,0.08869188460820578,0.2006296260693687,False
b2581,6.978648216617638,7.61663969545154,0.6379914788339018,0.0519737975035632,0.1503922651166935,False
b1848,7.802982028829436,6.658316207987596,-1.1446658208418397,0.0017920662888516493,0.04549018896105387,True
