gene_id,gene_name,mean_control,mean_treatment,log2_fold_change,pvalue,padj,significant
b1671,ydhX,2.8050806587314434,4.777045518608191,1.971964859876748,0.1466991302331923,0.2749683845917899,False
b0849,grxA,5.103298909244607,4.0974032464966434,-1.0058956627479638,0.0034026133545035,0.0529802090495681,False
b1282,yciH,4.595681902804055,4.65178810742653,0.0561062046224742,0.910577517887302,0.942280816296567,False
b1620,malI,4.99449168967243,4.249757724477544,-0.7447339651948859,0.0397547584805055,0.1314807340165873,False
b2786,barA,4.6432784798472015,4.710712868125436,0.0674343882782348,0.7722236626493989,0.8408052939158022,False
b3773,ilvY,4.850214207265267,4.503914523909417,-0.3462996833558502,0.0621262737764613,0.165209292109611,False
b0790,ybhP,4.044400850898354,4.960323953344918,0.9159231024465644,0.1998663816924528,0.3370914396977558,False
Novel00067,-,4.440007235318346,4.831223141330167,0.391215906011821,0.3154564720245402,0.4601133072623128,False
b2213,ada,4.745873084051708,4.571136686693047,-0.1747363973586608,0.5638966169351363,0.6794008098805078,False
b4012,yjaB,5.179745128886981,3.840746514683502,-1.3389986142034789,0.0130178412958885,0.0803632348499971,False
b4536,yobH,4.630887483437473,4.610841411846782,-0.0200460715906904,0.963311209362669,0.9743837519990216,False
b4271,intB,4.722901858410143,4.639272031037172,-0.0836298273729712,0.1414558159451559,0.2687780279262743,False
Novel00220,-,4.956044773710564,4.239231919839056,-0.7168128538715077,0.1409865844130852,0.2679999114129295,False
Novel00339,-,2.7487709138857377,4.297273875606241,1.5485029617205035,0.3224033725714936,0.4670582104909178,False
Novel00241,-,4.942879462215876,4.087031003362064,-0.8558484588538118,0.2362160956495088,0.3776764650071235,False
b4770,yljB,4.928314282824905,3.9924742900904246,-0.9358399927344804,0.2470662761148898,0.3892629997656783,False
b2023,hisH,4.476962863844148,4.828788647575849,0.3518257837317016,0.1156755994707341,0.2363569354420729,False
b3155,yhbQ,5.029600752836147,4.151737304913436,-0.877863447922711,0.0208974107218794,0.0968900728136995,False
Novel00280,-,4.876847299783041,4.40885254494025,-0.4679947548427909,0.0582477527755756,0.1603778616299284,False
b2823,ppdC,5.191610397144106,3.790328765479504,-1.401281631664602,0.0018346087794007,0.0454901889610538,True
b0316,yahB,4.936904345185904,4.319150947555312,-0.617753397630592,0.0240591903140012,0.1015782183718133,False
b1439,ydcR,4.546013740159527,4.75921556118334,0.2132018210238131,0.3128619435963803,0.4579662109786546,False
b4087,alsA,0.8508861124586463,5.15749843256403,4.306612320105384,0.0071348660024807,0.0668914338130496,False
b1429,tehA,4.745918622010623,4.570223451119412,-0.1756951708912115,0.2678268868154125,0.4114668078994672,False
b1760,ynjH,4.807975343579088,4.480621029484482,-0.327354314094606,0.1116571942181264,0.2308233476052287,False
b3071,nfeR,3.817941660464525,5.1413906778592375,1.3234490173947124,0.0128884685574164,0.0802313590513358,False
Novel00065,-,4.233710209154147,4.92162860430232,0.6879183951481735,0.1121436951625788,0.2312536522367035,False
b0046,kefF,4.42257097548317,4.79739467544722,0.3748236999640495,0.3041222912720123,0.447971190234026,False
b1606,folM,4.3915734287293375,4.859641917022049,0.4680684882927117,0.0894771025818886,0.2010882505696124,False
b3661,nlpA,4.908830190367832,4.288781070293587,-0.6200491200742446,0.09475347549422,0.208457646087284,False
b0039,caiA,5.072331495799442,4.043221181976026,-1.0291103138234154,0.0029572005931733,0.051770266555652,False
b2664,glaR,4.629556801509209,4.538862743189381,-0.0906940583198281,0.8471550040610941,0.8968162276712619,False
Novel00239,-,4.751687596560075,4.333289289822549,-0.4183983067375258,0.522852716229997,0.6501480234852461,False
b1524,glsB,4.187663159833868,4.997268679457758,0.80960551962389,0.004337791554602,0.0578140648233128,False
Novel00270,-,3.4481504409706205,5.150705443689621,1.7025550027190008,0.0257985189284697,0.1055204240628883,False
b2668,ygaP,4.8217732416933865,4.442477063804485,-0.3792961778889019,0.052281585835754,0.1508464857989288,False
b4349,hsdM,3.963263456647013,5.021226747329482,1.0579632906824692,0.0656525535053032,0.1697284908593323,False
Novel00082,-,4.816123656260078,4.428196268427936,-0.3879273878321427,0.1049783306567736,0.2226572533022684,False
b2604,dgcN,5.014548860393426,4.091426482456619,-0.9231223779368074,0.0188873997058176,0.0926411474095188,False
b0764,modB,5.084811772076985,3.927962735961336,-1.156849036115649,0.0229783871339531,0.1004394656506932,False
b0198,metI,4.542164097343325,4.701805927736969,0.1596418303936442,0.5128568431730428,0.642395063399558,False
b2902,ygfF,4.466906855008065,4.748347542637107,0.2814406876290416,0.3337387232773863,0.479609154681047,False
b4298,yjhH,4.427161386961655,4.766837766540625,0.3396763795789708,0.329979262714858,0.4749669438948951,False
b2499,purM,4.347032360408684,4.696319184243563,0.3492868238348796,0.5490021099771243,0.6697258683276254,False
b2958,yggN,4.468064287264078,4.740935033221832,0.2728707459577535,0.3221857503159897,0.4669638836630153,False
b0232,yafN,4.762774506426633,4.322768565838671,-0.4400059405879624,0.3937925615131339,0.5366963304193577,False
b0476,aes,4.25687767892875,4.825749615930854,0.568871937002104,0.2092209158505205,0.3481584984564835,False
Novel00302,-,4.895051329555471,4.299090723777751,-0.5959606057777194,0.0025101184151124,0.0487743538419419,False
Novel00225,-,5.050861235281205,3.731629403053566,-1.3192318322276386,0.1185408983221815,0.2399691256968654,False
b1535,dgcZ,4.966096360494098,4.139454151524255,-0.8266422089698429,0.01667950436845,0.0862785324002557,False
b4575,yjgX,5.139705281936281,3.771166774676556,-1.3685385072597245,0.0016825436218305,0.0452180482427848,True
b3753,rbsR,4.652951554380536,4.577172219029143,-0.0757793353513927,0.5875121624107806,0.698478035734989,False
b4723,ymcF,4.115366507495949,4.917496536301365,0.8021300288054158,0.1222443102593278,0.2450345977864508,False
b2817,amiC,4.3415545347867885,4.818412460715479,0.47685792592869,0.0918148662843209,0.203963763104588,False
b4797,yicU,4.434877604816314,4.692776723883884,0.2578991190675701,0.5441821591395424,0.6671641216523371,False
Novel00014,-,4.508426789655786,4.546461647386703,0.038034857730917,0.9434946382441796,0.9631894520483552,False
Novel00120,-,5.062387719446596,3.8350524834239135,-1.2273352360226824,0.0401029059038117,0.1321452582204897,False
b4787,yqiM,4.343039193650448,4.814820207094132,0.4717810134436844,0.0341836166961832,0.1204207784399297,False
b0635,mrdA,3.9592657215330735,4.980920127766284,1.0216544062332105,0.0456846331179607,0.1406420671464891,False
b0945,pyrD,3.688327733179391,5.078504934920038,1.3901772017406473,0.0390477421320197,0.1300869220376309,False
b3084,rlmG,3.8377431325044338,5.042390890586056,1.204647758081622,0.0373810372813903,0.1275787797101748,False
b0324,yahJ,4.656551468845691,4.507784412934264,-0.1487670559114269,0.5463931343472124,0.6679957469218984,False
b3625,waaY,3.936516267902322,4.933858662644579,0.9973423947422568,0.0880010823369884,0.1996708076483338,False
b1745,astB,4.181896314631484,4.47748371391471,0.2955873992832263,0.7576943311609721,0.8296004289461923,False
b0207,dkgB,3.767516500773947,5.063420123165416,1.2959036223914695,0.0113403540670726,0.0760769941001822,False
